algoritmo,tipo_instancia,n,repeticao,tempo_s,pico_memoria_bytes,estados,existe,estourou_timeout
meet_in_middle,com_solucao,50,1,22.772403209000913,,67108872,True,False
meet_in_middle,com_solucao,50,2,23.16652245899968,,67109056,True,False
meet_in_middle,com_solucao,50,3,23.024916999998823,,67108960,True,False
meet_in_middle,com_solucao,50,4,22.025313291000202,,67108986,True,False
backtracking,sem_solucao,10,0,4.450000051292591e-05,2134,254,False,False
backtracking,sem_solucao,10,1,4.3125000956933945e-05,2166,269,False,False
backtracking,sem_solucao,10,2,3.5708999348571524e-05,2102,215,False,False
backtracking,sem_solucao,10,3,5.008300286135636e-05,2134,347,False,False
backtracking,sem_solucao,10,4,3.8124999264255166e-05,2102,248,False,False
meet_in_middle,sem_solucao,10,0,2.579200008767657e-05,5656,95,False,False
meet_in_middle,sem_solucao,10,1,2.6792000426212326e-05,5656,94,False,False
meet_in_middle,sem_solucao,10,2,2.599999788799323e-05,5656,94,False,False
meet_in_middle,sem_solucao,10,3,2.550000135670416e-05,5656,95,False,False
meet_in_middle,sem_solucao,10,4,2.4249999114545062e-05,5656,96,False,False
backtracking,sem_solucao,15,0,0.00017558300169184804,2510,1514,False,False
backtracking,sem_solucao,15,1,0.0003627920013968833,2510,3263,False,False
backtracking,sem_solucao,15,2,0.0001872079992608633,2510,1592,False,False
backtracking,sem_solucao,15,3,0.00036941700091119856,2542,3350,False,False
backtracking,sem_solucao,15,4,0.0006489580009656493,2542,6047,False,False
meet_in_middle,sem_solucao,15,0,8.029099990380928e-05,40184,640,False,False
meet_in_middle,sem_solucao,15,1,8.21249996079132e-05,40184,640,False,False
meet_in_middle,sem_solucao,15,2,8.029200034798123e-05,40184,638,False,False
meet_in_middle,sem_solucao,15,3,7.937499685795046e-05,40184,627,False,False
meet_in_middle,sem_solucao,15,4,7.97079992480576e-05,40184,616,False,False
backtracking,sem_solucao,20,0,0.004851666999456938,2934,44300,False,False
backtracking,sem_solucao,20,1,0.017762958003004314,2902,167543,False,False
backtracking,sem_solucao,20,2,0.0015365830004157033,2934,13844,False,False
backtracking,sem_solucao,20,3,0.008479790998535464,2902,78605,False,False
backtracking,sem_solucao,20,4,0.007951250001497101,2934,74552,False,False
meet_in_middle,sem_solucao,20,0,0.0019106670006294735,278024,3053,False,False
meet_in_middle,sem_solucao,20,1,0.0018712080018303823,277912,3071,False,False
meet_in_middle,sem_solucao,20,2,0.001726374997815583,278040,3072,False,False
meet_in_middle,sem_solucao,20,3,0.0016361250018235296,277896,3072,False,False
meet_in_middle,sem_solucao,20,4,0.0016482089995406568,277864,3072,False,False
backtracking,sem_solucao,25,0,0.25516924999828916,3342,2435965,False,False
backtracking,sem_solucao,25,1,0.3045315409981413,3342,2947157,False,False
backtracking,sem_solucao,25,2,0.20373804200062295,3342,1930943,False,False
backtracking,sem_solucao,25,3,0.07254629200178897,3374,679874,False,False
backtracking,sem_solucao,25,4,0.1972973340016324,3342,1876223,False,False
meet_in_middle,sem_solucao,25,0,0.004156874998443527,1722824,20479,False,False
meet_in_middle,sem_solucao,25,1,0.004012250003142981,1722280,20480,False,False
meet_in_middle,sem_solucao,25,2,0.00409975000002305,1722808,20480,False,False
meet_in_middle,sem_solucao,25,3,0.004019916999823181,1722344,20480,False,False
meet_in_middle,sem_solucao,25,4,0.004176458001893479,1722776,20469,False,False
backtracking,sem_solucao,30,0,2.1669025830015016,3734,20768003,False,False
backtracking,sem_solucao,30,1,5.809227416997601,3670,56180303,False,False
backtracking,sem_solucao,30,2,2.6015149999984715,3670,25088708,False,False
backtracking,sem_solucao,30,3,4.371115084002668,3670,42077700,False,False
backtracking,sem_solucao,30,4,2.7090335409993713,3734,25815227,False,False
meet_in_middle,sem_solucao,30,0,0.018086874999426072,9435544,98304,False,False
meet_in_middle,sem_solucao,30,1,0.019067666999035282,9436632,98304,False,False
meet_in_middle,sem_solucao,30,2,0.018304458000784507,9435960,98300,False,False
meet_in_middle,sem_solucao,30,3,0.019017709000763716,9436120,98304,False,False
meet_in_middle,sem_solucao,30,4,0.017978291998588247,9437192,98304,False,False
backtracking,sem_solucao,35,0,,,,,True
backtracking,sem_solucao,35,1,,,,,True
backtracking,sem_solucao,35,2,,,,,True
backtracking,sem_solucao,35,3,,,,,True
backtracking,sem_solucao,35,4,,,,,True
meet_in_middle,sem_solucao,35,0,0.13936575000116136,55781776,655360,False,False
meet_in_middle,sem_solucao,35,1,0.13663929200265557,55781776,655293,False,False
meet_in_middle,sem_solucao,35,2,0.13536479200047324,55780896,655343,False,False
meet_in_middle,sem_solucao,35,3,0.13467829100045492,55781520,655318,False,False
meet_in_middle,sem_solucao,35,4,0.13920620800126926,55780976,655360,False,False
backtracking,sem_solucao,40,0,,,,,True
backtracking,sem_solucao,40,1,,,,,True
backtracking,sem_solucao,40,2,,,,,True
backtracking,sem_solucao,40,3,,,,,True
backtracking,sem_solucao,40,4,,,,,True
meet_in_middle,sem_solucao,40,0,1.2046156670003256,303751760,3145728,False,False
meet_in_middle,sem_solucao,40,1,1.209623750000901,303751632,3145728,False,False
meet_in_middle,sem_solucao,40,2,1.1473106670018751,303751920,3145709,False,False
meet_in_middle,sem_solucao,40,3,1.1672540840008878,303740864,3145671,False,False
meet_in_middle,sem_solucao,40,4,1.1824767910002265,303750736,3145702,False,False
backtracking,sem_solucao,45,0,,,,,True
backtracking,sem_solucao,45,1,,,,,True
backtracking,sem_solucao,45,2,,,,,True
backtracking,sem_solucao,45,3,,,,,True
backtracking,sem_solucao,45,4,,,,,True
meet_in_middle,sem_solucao,45,0,12.505879042000743,1780319792,20971520,False,False
meet_in_middle,sem_solucao,45,1,12.392915665997862,1780316864,20971520,False,False
meet_in_middle,sem_solucao,45,2,12.307962375001807,1780319792,20971390,False,False
meet_in_middle,sem_solucao,45,3,12.651410291997308,1780318928,20970474,False,False
meet_in_middle,sem_solucao,45,4,12.402610832999926,1780313824,20970580,False,False
backtracking,sem_solucao,50,0,,,,,True
backtracking,sem_solucao,50,1,,,,,True
backtracking,sem_solucao,50,2,,,,,True
backtracking,sem_solucao,50,3,,,,,True
backtracking,sem_solucao,50,4,,,,,True
meet_in_middle,sem_solucao,50,0,,,,,True
meet_in_middle,sem_solucao,50,1,,,,,True
meet_in_middle,sem_solucao,50,2,,,,,True
meet_in_middle,sem_solucao,50,3,,,,,True
meet_in_middle,sem_solucao,50,4,,,,,True
backtracking,alvo_pequeno,10,0,1.7708000086713582e-05,2454,31,True,False
backtracking,alvo_pequeno,10,1,1.9333001546328887e-05,2486,43,True,False
backtracking,alvo_pequeno,10,2,1.5833000361453742e-05,2422,9,True,False
backtracking,alvo_pequeno,10,3,1.55829984578304e-05,2422,11,True,False
